"Tên chính","Tên khác","Tên khoa học","Họ","Mô tả","Bộ phận dùng","Nơi sống và thu hái","Thành phần hoá học","Tính vị, tác dụng","Công dụng, chỉ định và phối hợp","Liều dùng","Đơn thuốc"
"Bí bái","","Acronychia pedunculata (L.) Miq. (A.laurifolia Blune)","Cam - Rutaceae","Cây gỗ nhỏ thường xanh cao 5-10m. Cành già màu nâu đỏ, vỏ có mùi xoài. Lá mọc đối phiến hình trái xoan thuôn dài 5-15cm, rộng 2,5-6cm, có những điểm tuyến tiết tinh dầu; lá non có lông, lá già nhẵn; cuống dài phù ở hai đầu, cũng thơm mùi xoài. Cụm hoa hình ngù, mọc ở nách lá hay đầu cành. Hoa trắng xanh xanh, thơm, có 4 lá đài, 4 cánh hoa, 6 nhị và bầu 1 ô. Quả hạch hình cầu nạc, có múi, khi chín màu vàng nhạt hay trắng hồng, ngọt, thơm thơm, ăn được; hạt dài, cứng, đen. Ra hoa tháng 4-6; có quả tháng 6-8.","Rễ, gỗ thân, lá, quả - Radix, Lignum, Folium et Fructus Acronychiae.","Cây của Ðông Dương và Viễn Ðông, thường mọc ở trong rừng thứ sinh, rừng còi, ven rừng và đồi cây bụi vùng trung du và miền núi từ Hoà Bình, Vĩnh Phú, Hà Bắc đến các tỉnh phía Nam. Thu hái các bộ phận của cây quanh năm, thái phiến, phơi khô. Quả thu hái vào mùa thu - đông, đồ với nước nóng rồi phơi.","Lá chứa 1,25% tinh dầu; còn có alcaloid acronycin.","Bí bái có vị ngọt, thơm, hơi cay, tính bình. Vỏ đắng và chát. Rễ, gỗ, lá có tác dụng khư phong hoạt huyết, hành khí giảm đau. Quả kiện tỳ tiêu thực.","Lá non thường dùng làm rau gia vị. Các bộ phận của cây được dùng trị: 1. Ðau thấp khớp, đau dạ dày, đau thoát vị; 2. Chán ăn, đầy bụng, khó tiêu; 3. Cảm mạo, ho; 4. Phù lôi. Dùng ngoài chữa ghẻ chốc, mụn nhọt, đòn ngã tổn thương, lấy vỏ thân, lá nấu nước cho đặc để tắm, xát. Nhân dân ta thường dùng lá sắc uống chữa đau dạ dày và các chứng sưng đau. Còn dùng lá sao vàng, nấu nước cho sản phụ uống thay chè giúp ăn ngon cơm và thông huyết ứ. Lại có tác dụng trị phù lỏi. Ở Inđônêxia (Java) vỏ thân được dùng trị lỵ và lợi tiểu. Lá non cũng dùng ăn. Ở Ấn Độ, rễ, chồi và quả dùng chế nước tắm kích thích. Nhựa của rễ cũng được dùng xoa kích thích trong bệnh thấp khớp.","Liều dùng 10-15g, dạng thuốc sắc.","1. Chữa phong thấp, gối lưng đau mỏi, bị thương sưng đau: 15-20g rễ hay lõi gỗ Bí bái sắc uống hoặc tán bột uống. Cũng dùng lá tươi đắp chỗ đau.
2. Cảm sốt và ho; 20g lá Bí bái sắc uống.
3. Chữa ăn uống kém tiêu: 15g quả Bí bái sắc uống.",""
"Bí đặc","Xúc xích, Cây đồi","Kigelia africana (Lam.) Benth (K. pinnata (Jacq) DC)","Núc nác -Bignoniaceae","Cây gỗ to, đường kính 10-20cm. Lá kép lông chim lẻ ba lần. Cụm hoa chùm xim thưa, buông rũ; hoa hình ống màu đỏ sẫm ở mặt trong, có vạch vàng ở phía ngoài. Quả hình trụ, hoa gỗ, rắn, to bằng quả bí, màu xám có cuống dài, treo lủng lẳng trên cây, dài đến 1m.","Quả và vỏ cây - Fructus et Cortex Kigeliae.","Loài của các savan cây gỗ ở Ðông Phi châu, được gây trồng lấy bóng mát và làm cảnh ở Hà Nội và một số địa phương khác.","Hoa chứa một anthocyanin, cyanidin pentose glucosid và flavon, bao gồm quercetin và kaempferol. Vỏ chứa một chất đắng và acid tannic.","Quả có tính xổ.","Quả được dùng ở Phi Châu làm thuốc bôi lên các vết loét kể cả giang mai và trị tê thấp. Vỏ được dùng trị tê thấp, lỵ và bệnh hoa liễu.","","",""
"Bí đao","Bí phấn, Bí xanh","Benincasa hispida (Thunb.) Cogn.","Bầu bí - Cucurbitaceae","Cây thảo một năm mộc leo dài tới 5m, có nhiều lông dài. Lá hình tim hay thận, đường kính 10-25cm, xẻ 5 thuỳ chân vịt; tua cuốn thường xẻ 2-1 nhánh. Hoa đơn tính màu vàng. Quả thuôn dài 25-40cm, dày 10-15cm lúc non có lông cứng, khi già có sáp ở mặt ngoài, nặng 3-5kg, màu lục mốc, chứa nhiều hạt dẹp. Hoa tháng 6-9; quả tháng 7-10.","Vỏ quả - Exocarpium Benincasae; thường gọi là Đông qua bì. Hạt cũng được sử dụng.","Bí đao gốc ở Ấn Độ, được trồng rộng rãi ở khắp các vùng nhiệt đới và á nhiệt đới của châu á và miền Ðông của châu Ðại Dương. Ở nước ta, Bí đao cũng được trồng khắp nơi để lấy quả. Ta thường gặp 2 giống chính là Bí đá và Bí gối. Bí đá có quả nhỏ, thuôn dài, vỏ xanh, khi già vỏ xanh xám và xứng, hầu như không có phấn trắng ở ngoài. Bí đá dày cùi, ít ruột, ăn ngon nhưng cho năng suất thấp. Còn Bí gối quả to, khi già phủ lớp sáp trắng, giống này dày cùi nhưng ruột nhiều, lại cho năng suất cao. Bí đao dễ bảo quản; nếu để nơi mát, khô ráo cho thoáng, đừng xếp chồng lên nhau thì có thể để dành bí trong nhiều tháng. Ðể làm thuốc, ta dùng quả già lấy thịt quả, vỏ quả và hạt.","Bí đao tươi có tỷ lệ % các chất như sau: nước 67,9, protid 0,1, lipid 0,1, cellulos 0,7, dẫn xuất không protein 30,5, khoáng toàn phần 0,1. Trong các loại kháng có calcium 26mg, phosphor 23mg, sắt 0,3mg. Còn có các vitamin caroten 0,01mg, vitamin B1 0,01mg, vitamin B2 0,02mg, vitamin PP 0,03mg và vitamin C 16mg. Nhiệt lượng do 100g bí cung cấp cho cơ thể là 12calo. Hạt chứa ureaza.","Bí đao có vị ngọt, tính lạnh, không độc, có tác dụng lợi tiểu tiện, tiờu phự thũng, thanh nhiệt, tiêu viêm. Vỏ Bí đao vị ngọt, tính mát, có tác dụng lợi tiểu, tiêu viêm tiêu thũng, giải nhiệt. Hạt có tác dụng kháng sinh, tiêu độc trừ giun.","Bí đao là loại rau xanh thường dùng trong các bữa ăn của nhân dân ta, cũng như dưa chuột. Có thể dùng Bí đao ăn luộc hoặc nấu canh tôm, canh cua, làm nộm, xào thịt gà, thịt lợn. Bí đao còn dùng làm mứt; mứt Bí đao thường dùng trong dịp Tết Nguyên đán. Ăn Bí đao thông tiểu, tiêu phù, giải khát, mát tim, trừ phiền nhiệt, bớt mụn nhọt. Vỏ quả dùng chữa đái dắt do bàng quang nhiệt hoặc đái đục ra chất nhầy. Hạt Bí đao cũng dùng rang ăn và dùng chữa ho, giải độc và trị rắn cắn. Lá Bí đao giã nát trộn với giấm rịt đắp chữa các đầu ngón tay sưng đau (chín mé). Ở Cămpuchia, người ta dùng rễ nấu nước tắm để trị bệnh đậu mùa.","","1. Chữa phù thũng: Khi cả mình và mặt đều phù, dùng Bí đao cùng Hành củ nấu canh với cá chép ăn thường (Nam dược thần hiệu) hoặc dùng Bí đao 40g, Ðậu đỏ 40g sắc đặc uống hàng ngày (Kinh nghiệm dân gian).
2. Chữa đái không thông do bàng quang nhiệt, hoặc đái đục ra chất nhầy, dùng vỏ Bí đao sắc đặc, uống nhiều sẽ đái thông (Nam dược thần hiệu).
3. Chữa ung nhọt ở phổi hay ở đại tràng, dùng hạt Bí đao, Bồ công anh, Kim ngân hoa, ý dĩ, Diếp cá, đều 40g. Rễ lau 20g, Hạt đào, Cát cánh, Cam thảo đều 10g, sắc uống.",""
"Bí đỏ","Bí rợ, Bầu rợ","Cucurbita maxima Duch ex Lam.","Bầu bí - Cucurbitaceae","Cây thảo lớn mọc hằng năm, phân nhánh nhiều, bò dài; thân dài 4-5m, có 5 cạnh, có lông cứng, giòn, trắng; tua cuốn chia nhiều nhánh. Lá đơn, mọc so le, dài đến 20cm, có cuống dài; phiến lá hình tim chia 5 thuỳ cạn và tròn, có lông mềm. Cây có hoa cùng gốc, hoa màu vàng nghệ, mùi thơm thơm; tràng hình chuông; nhị 3 có bao phấn dính nhau thành một, khối dài tới 2cm. Quả rất to, hình cầu, dẹp hai bên, lõm ở giữa, có thể nặng tới 50kg; thịt vàng; hạt trắng hay vàng vàng, dẹp, hơi có mép, dài 20-29mm.","Quả và hạt -Fructus et Semen Cucurbitae Maximae; thường gọi là Duẩn qua.","Cây của miền nhiệt đới châu Mỹ, được trồng nhiều khắp nước ta, cho năng suất cao 100-120 tấn/ha. Trồng bằng hạt vào tháng 5. Ðào hố sâu khoảng 50cm, cách nhau 3m, bón phân lót, phủ đất mịn và có nhiều mùn lên trên. Mỗi hốc bỏ 2-3 hạt. Khi cây có 2-3 lá chính thức thì cắt ngọn. Muốn có quả to, người ta thường chỉ giữ 2 hay 3 quả mỗi gốc và cắt phần ngọn ở trên quả cuối cùng.","Quả Bí đỏ chứa 88,3-87,2% nước, 1,40-1,33 protid, 0,5-0,43% lipid, 9,0-9,33% chất chiết xuất không có nitrogen, 0,8-0,70% chất màng, 0,8-1,01% tro. Thịt quả tươi chứa 2,81% đường tổng số mà 2,47% là đường giảm, 90,5mg N tổng số mà 38,6 N proteic và 51,9 N hoà tan. Quả chứa caroten và xauthophin còn có sắt, mangan, đồng kẽm, arsenic. Hạt chứa các globulin. Trong 100g protein có glycololle 0,57, alanine 1,92 valin 0,26, leucin 7,32, cystin 0,23, acid aspartic 3,30, acid glutamic 12,35, tyrosin 3,07, phenylalanin 3,32, arginin 14,33, lysin 1,99, histidin 2,63, ammoniac arachilic, acid stearic, acid palmitic, acid olcic, acid linolecic, chất không savon hoá 1%; còn có những hạt phytin. Người ta tách được một carboxylase oxalacetic và pyruvic. Ở Ấn Độ, người ta xác định có saponin, cucurbitin, lutecin. Hạt chứa nhựa có tính diệt giun nhưng không có glucosid.","Cũng như Bí ngô.","Hạt dùng trị giun, diệt sán xơ mít, lợi tiểu và bổ. Dầu dùng để bổ thần kinh; thịt quả dùng đắp trị bỏng, sưng viêm và nhọt.","","",""
"Biến hóa","Quan chi","Asarum caudigerum Hance","Nam mộc hương- Aristolochiaceae","Cỏ sống lâu năm, mọc bò; thân đứng cao 10-50cm, lóng dài 7-20cm. Lá 1-2, có phiến hình tim, dài 5-15cm, có lông ở cả hai mặt; gân ở gốc 6-7; cuống dài 7-15cm. Hoa vàng nhạt có vạch màu đỏ, có cuống dài 2-3cm, bao hoa đều, đài chia 3 thuỳ, ở đỉnh có đuôi dài đến 1cm; nhị 12; bầu dưới, 6 ô. Quả nang khi chín màu tím tía. Hạt nhiều. Hoa tháng 3-4, quả tháng 506.","Toàn cây - Herba Asari Caudigeri, thường gọi là Thổ tế tân.","Cây mọc ở vùng núi cao: Hà Giang, Lào Cai, Cao Bằng, Lạng Sơn, Quảng Ninh, Vĩnh Phú. Thu hái toàn cây hoặc rễ vào cuối mùa đông, rửa sạch, phơi hay sấy khô.","","Cũng như Tế tân (Asarum sieboldi Miq). Thổ tế tân có vị cay, tính ấm; có tác dụng tán phong hàn, ôn trung hạ khí, thông khiếu, làm ra mồ hôi, lợi tiểu tiện.","Thường dùng chữa tê thấp đau nhức, trúng phong hàn co quắp và chữa cảm sốt, ho hen, suyễn thở, viêm phế quản.","Liều dùng: 2-4g, phối hợp với các vị khác.","1. Chữa trúng gió lạnh, co cứng, tay chân giá lạnh, hôn mê; dùng Thổ tế tân, Ma hoàng, Quế chi, Thạch xương bồ, Phụ tử chế, Cam thảo, mỗi vị 4g sắc uống. Ngoài dùng Thổ tế tân tán bột thổi vào lỗ mũi làm cho hắt hơi và xát vào chân răng, nếu cắn răng không nói (Lê Trần Ðức).
2. Chữa hen suyễn gặp lạnh lên cơn nghẹt thở, hoặc cảm phong hàn, ngực căng khó thở, ho suyễn kéo đờm, đầu mặt xây xẩm, thân thể nặng nề đau nhức; dùng Thổ tế tân 4g, Ma hoàng 8g, Bán hạ chế, Ngũ vị tử, Vỏ rễ dâu, Ô mai nhục, Cam thảo, Gừng sống, mỗi vị 6g, sắc uống (Lê Trần Ðức).",""
"Biến hóa Blume","Thổ tế tân","Asarum blumei Duch","Nam mộc hương - Aristolochiaceae","Cây thảo có thân dài 1-2cm, mang ít rễ to 1,5mm, có ít rễ con. Lá 2, cuống dài 5-8cm cho tới 10cm, phiến lá hình tim mũi giáo, dài 8-10cm, rộng 4-5cm, mặt trên xám lục, mặt dưới cứng nâu; gân gốc 3 (5), gân phụ 2 cặp. Hoa có cuống 1,5cm, mọc riêng lẻ; bao hoa hình ống dài 20-25mm, phồng xung quanh bầu, phiến chia 3 thuỳ tròn dài, cao 1cm; bầu dưới 6 ô. Quả nang dài chứa nhiều hạt dẹt. Ra hoa đầu mùa xuân.","Rễ - Radix Asari Blumei, thường có tên là Ðỗ hành.","Cây mọc ở nơi ẩm thấp trên miền rẻo cao các tình Lạng Sơn, Vĩnh Phú, Hà Giang. Có thể thu hái lá, rễ vào mùa hè - thu (tháng 8-9).","Có tinh dầu mà thành phần chủ yếu là safrol và eugenol.","Vị ngọt, the, tính ẩm; có tác dụng làm ấm phổi, tiêu đàm, khỏi ho, lợi tiểu.","Chữa viêm phế quản, ho và chữa thuỳ thũng. Nhân dân dùng làm thuốc gây nôn.","Ngày dùng 8-16g, dạng thuốc sắc.","",""
"Biến hoa sông Hằng","Thập vạn thác","Asystasia gangetica (L.) T. Anderson (A.conromandeliana Nees)","Ô rô - Acanthaceae","Cây thảo rất đa dạng, mọc nằm, sống nhiều năm. Lá có cuống phiến xoan, nhọn, tù tròn hay gần hình tim ở gốc, nhọn, dài 3-12cm, rộng 1-4cm, mặt dưới phủ lông rải rác. Hoa xếp thành chùm ở ngọn hay ở bên. Quả nang dài 3cm, có phần gốc không sinh sản dài 15mm; hạt có bề mặt sần sùi, có mép lượn sóng không đều.","Lá - Folium Asystasiae Gangeticae.","Loài của Ấn Độ, Thái Lan, Nam Ðông Dương. Ở nước ta cũng gặp cây mọc dọc đường đi, bờ rào một số nơi từ Thừa Thiên-Huế đến Khánh Hoà.","Có các vết của alcaloid.","Có tác dụng trừ giun, tiêu sưng, trừ thấp.","Ở Ấn Độ, người ta dùng dịch lá làm thuốc trừ giun xoa trị sưng viêm và đau thấp khớp.","","",""
"Bí kỳ nam","Trái bí kỳ nam, Kỳ nam kiến","Hydnophytum formicarum Jack","Cà phờ - Rubiaceae","Cây phụ sinh, cộng sinh với kiến. Thân phình thành củ lớn, mặt ngoài sần sùi. Lá mọc đối, gốc thuôn, đầu tù; phiến lá dày, nhẵn bóng. Lá kèm sớm rụng. Hoa không cuống, mọc tụ họp 4-5 cái ở nách lá, màu trắng. Quả nhỏ, hình trụ hơi dài, khi chín màu da cam. Mùa hoa quả: tháng 12-1.","Thân phình thành củ do kiến đục làm tổ, tạo thành hốc, lỗ - Caulis Hydnophyti.","Cây mọc hoang, bám vào các cây gỗ trong rừng thứ sinh ở miền Nam nước ta. Thu hái thân, thái mỏng, phơi đến gần khô thì phơi tiếp trong râm. Khi dùng đem thuốc tẩm qua nước đang sôi, rồi sao vàng.","","Tác dụng lợi tiểu, tiêu viêm kháng sinh, sát trùng.","Thường dùng chữa: 1. Viêm gan, đau gan, vàng da; 2. Ðau nhức gân xương, bong gân, thấp khớp; 3. Ðau bụng, ỉa chảy.","Liều dùng 6-12g, sắc uống hoặc nấu cao uống.","1. Viêm gan, đau gan, vàng da: Bí kỳ nam 80g, Hạ khô thảo, Chó đẻ, Hậu phác nam, mỗi vị 20g sắc uống. Hoặc Bí kỳ nam 40g, Thảo quyết minh 10g, áctisô 20g, Nhân trần 15g, cho 500ml nước vào sắc còn 100ml, chia 2 lần uống trước 2 bữa ăn khoảng 1 giờ. Uống liên tục 10-15 ngày.
2. Ðau nhức gân xương, bong gân, thấp khớp: Bí kỳ nam 40g, phối hợp với Bổ cốt toái 30g, rễ Trứng cuốc, rễ Trinh nữ, mỗi vị 20g, hoặc Ngũ gia bì 30g, rễ Vú bò, Xuyên tiêu, mỗi vị 20g, sắc uống hoặc ngâm rượu 30-40 độ (350g thuốc trong 1 lít rượu), ngày dùng 2 lần trước bữa ăn.
3. Ðau bụng: Sắc 60g thuốc Bí kỳ nam cho thật đặc, lấy 1/2 chén nước thuốc, chia 2 lần uống cách nhau 1 giờ.",""
"Bìm bìm","Bìm bìm đất","Merremia bimbim (Gagnep.) van Ooststr. (lpomoea bimbim Gagnep.)","Khoai lang - Convolvulaceae","Dây leo cao, thân to đến 5cm; cành non có lông mịn. Lá có phiến hình tim tròn, to 15 x 15cm, gân phụ gần nhau ở gốc, mặt trên như không lông, gân lõm, mặt dưới như nhung vàng; cuống dài 11cm, có lông mịn. Cụm hoa dài 18cm, chuỳ nhánh dài 4-5cm, lá bắc như kim; dài 4mm; tràng hoa vàng, cao 3cm; bao phấn 3-4mm; bầu 2 ô 2 noãn; đầu nhuỵ tròn.","Hạt - Semen Merremiae.","Cây mọc ở một số nơi ở miền Bắc: Hà Nội, Nam Hà.","","","Hạt nghiền ra làm thuốc uống trừ giun, lợi tiểu và chống tiết mật.","","",""
"Bìm bìm ba răng","Dây lưỡi đòng","Xenostegia tridentata (L.) D.F. Austin et Staples (Merremia trilentata (L.) Hall.f.)","Khoai lang - Comvolvulaceae","Cây leo thuộc thảo, không quấn. Thân mịn, không lông. Lá hẹp, gốc hình tim và có 2 tai ở hai bên, mỗi tai có 3 răng. Cụm hoa gồm 1-2 hoa. Hoa màu vàng vàng sữa, với trung tâm đỏ; lá đài bằng nhau; nhị đính gần gốc. Quả nang cao 7mm. Hạt không có lông. Ra hoa quanh năm.","Toàn dây - Herba Xenostegiae.","Loài liên nhiệt đới, gặp thông thường ở nhiều nơi vùng đồng bằng ở sân cỏ, trên cát từ vùng thấp đến độ cao 500m.","","Vị đắng, se, có tác dụng tăng trương lực và nhuận tràng.","Ở Ấn Độ, cây và rễ sắc uống dùng chữa thấp khớp, liệt nửa người, trĩ, sưng phù và các rối loạn đường tiết niệu. Ở Campuchia, nhân dân một số nơi sử dụng toàn cây để chế một loại thuốc dùng trị đau mình mẩy. Ở nước ta nhân dân sử dụng Bìm bìm ba răng phối hợp với các vị thuốc khác dùng chữa sốt rét và chữa ban xuất huyết. Bìm bìm ba răng, Dây chân chó, Cây keo ta, Cây đầu ma, Cành lá me nước, Gừng sống. Thường sơn (lá to, hoa nâu) liều lượng bằng nhau, sắc nước uống trường phục. Khi dùng, kỵ ăn măng tre. (An Giang).","","",""
